id,jurisdiction,fact,source,url,verified,notes,status
singapore/eligibility-and-foreigners,Singapore,"ACRA explains who needs to register a business and sets out additional rules for foreigners, including local-residency requirements and the use of a corporate service provider in certain cases.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/eligibility-and-foreigners/",supplied
singapore/business-structure,Singapore,"ACRA places business structure before name selection and registration, and notes that the structure affects liability, cost and potential growth.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/business-structure/",supplied
singapore/business-name-choice,Singapore,"ACRA says a proposed name must be checked against existing and reserved names and may require referral approval depending on the name.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/business-name-choice/",supplied
singapore/name-reservation-120-days,Singapore,"ACRA states that an approved business name can be reserved for up to 120 days and that the registration must be aligned with the reserved entity type.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/name-reservation-120-days/",supplied
singapore/ssic-business-activity-code,Singapore,"ACRA requires the applicant to select the most relevant Singapore Standard Industrial Classification (SSIC) code when applying for a business name.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/ssic-business-activity-code/",supplied
singapore/local-company-bizfile,Singapore,"ACRA’s current Bizfile guide says a business name must be reserved before registering a local company, and the person who reserved the name can register it subject to the published rules.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/local-company-bizfile/",supplied
singapore/business-address,Singapore,"ACRA’s guidance requires a business address and distinguishes the rules that can apply to home-based activities; a P.O. Box cannot be used as the main business address.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/business-address/",supplied
singapore/registration-readiness,Singapore,"A source-first registration file should align identity, name, structure, activity, address and the applicant’s filing authority before the Bizfile submission.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/registration-readiness/",supplied
singapore/post-registration,Singapore,"ACRA maintains a dedicated post-registration guide because incorporation or registration is followed by additional statutory and administrative requirements.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/post-registration/",supplied
singapore/foreign-founder-workflow,Singapore,"For overseas founders, start with ACRA’s eligibility and foreigner rules, then separate business-registration requirements from immigration or work-pass requirements.","Accounting and Corporate Regulatory Authority (ACRA) — Registering a business",https://www.acra.gov.sg/register/business/,2026-09-25,"Guide: https://www.incorpsys.com/singapore/foreign-founder-workflow/",supplied
hong-kong/company-types-and-name,"Hong Kong","The Companies Registry describes company types and requires the proposed name to be checked against the public company-name index and applicable naming rules.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/company-types-and-name/",supplied
hong-kong/company-name-search,"Hong Kong","The Hong Kong Companies Registry provides an e-Search route for checking whether a proposed name is identical to an existing or reserved name.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/company-name-search/",supplied
hong-kong/incorporation-documents,"Hong Kong","The Registry identifies core incorporation documents such as the applicable incorporation form, articles of association and notice to the Business Registration Office.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/incorporation-documents/",supplied
hong-kong/certificates,"Hong Kong","When an application is approved, the Registry issues the relevant certificates through electronic or hard-copy channels according to the filing route.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/certificates/",supplied
hong-kong/registered-office-rules,"Hong Kong","The Companies Registry states that the registered office of a local limited company must be situated in Hong Kong.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/registered-office-rules/",supplied
hong-kong/directors-and-secretary,"Hong Kong","The Registry’s incorporation FAQ describes director and company-secretary requirements for private companies and certain other company types.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/directors-and-secretary/",supplied
hong-kong/electronic-incorporation,"Hong Kong","Hong Kong Companies Registry supports electronic filing through its e-Services infrastructure as well as hard-copy filing routes.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/electronic-incorporation/",supplied
hong-kong/business-licences,"Hong Kong","Incorporation does not automatically replace sector-specific permits; the Registry directs applicants to the relevant government information for additional licences and approvals.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/business-licences/",supplied
hong-kong/non-hong-kong-company,"Hong Kong","A company incorporated outside Hong Kong that establishes a place of business in Hong Kong may have a separate registration route with the Companies Registry.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/non-hong-kong-company/",supplied
hong-kong/e-services-and-protected-information,"Hong Kong","The Companies Registry provides e-services for filings and separate rules for public inspection and protected information under the inspection regime.","Companies Registry — Registration of a new company",https://www.cr.gov.hk/en/services/register-company.htm,2026-09-25,"Guide: https://www.incorpsys.com/hong-kong/e-services-and-protected-information/",supplied
uk/private-limited-company-type,UK,"GOV.UK explains that the company setup route depends on the chosen company type and whether the company is limited by shares or guarantee.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/private-limited-company-type/",supplied
uk/directors-and-secretary,UK,"A UK private company must appoint at least one director; a company secretary is optional for a private company under the GOV.UK formation guidance.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/directors-and-secretary/",supplied
uk/shareholders,UK,"GOV.UK explains that a company limited by shares needs at least one shareholder and that a director can also be a shareholder.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/shareholders/",supplied
uk/people-with-significant-control,UK,"UK incorporation requires companies to identify people with significant control, including relevant ownership or voting control information.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/people-with-significant-control/",supplied
uk/constitutional-documents,UK,"GOV.UK lists constitutional and capital/guarantee documents as part of the formation process, depending on company type.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/constitutional-documents/",supplied
uk/company-name-and-trademark,UK,"The GOV.UK formation flow separates company-name rules from trademark checks and recommends confirming the proposed name is available.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/company-name-and-trademark/",supplied
uk/registered-office-and-sic,UK,"UK registration requires an official registered office and a SIC code that identifies the company’s business activity.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/registered-office-and-sic/",supplied
uk/online-registration,UK,"GOV.UK provides an online registration route and may set up Corporation Tax at the same time unless the company is dormant.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/online-registration/",supplied
uk/certificate-of-incorporation,UK,"The certificate of incorporation confirms that the company legally exists and records the company number and date of formation.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/certificate-of-incorporation/",supplied
uk/post-registration,UK,"GOV.UK directs newly incorporated companies to follow-up steps such as adding Corporation Tax services and checking the next statutory actions.","GOV.UK / Companies House — Set up a private limited company: Register your company",https://www.gov.uk/limited-company-formation/register-your-company,2026-09-25,"Guide: https://www.incorpsys.com/uk/post-registration/",supplied
usa/business-location,USA,"The U.S. SBA explains that business location affects taxes, zoning, regulations, registration and licensing requirements.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/business-location/",supplied
usa/business-structure,USA,"The SBA explains that business structure affects taxes, liability, fundraising and filing obligations and should be selected before registration.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/business-structure/",supplied
usa/business-name,USA,"SBA guidance includes business-name selection as a distinct startup step before registration.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/business-name/",supplied
usa/state-registration,USA,"SBA guidance explains that registration depends on the business structure and location and often involves the state-level filing authority.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/state-registration/",supplied
usa/registered-agent,USA,"For LLCs, corporations, partnerships and nonprofits, the SBA notes that a registered agent is needed in the state where the entity registers.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/registered-agent/",supplied
usa/foreign-qualification,USA,"The SBA explains that an entity active in more than one state may need foreign qualification in additional states.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/foreign-qualification/",supplied
usa/tax-ids,USA,"SBA startup guidance separates registration from obtaining federal and state tax identification numbers.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/tax-ids/",supplied
usa/licenses-and-permits,USA,"The SBA explains that licenses and permits depend on business activity and location and can be required at state, county or city level.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/licenses-and-permits/",supplied
usa/local-agencies,USA,"Local governments can impose their own registration, licensing and permitting requirements, so the SBA recommends checking the relevant local authority.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/local-agencies/",supplied
usa/ongoing-state-reports,USA,"The SBA notes that some states require additional reports soon after registration and that obligations vary by state and structure.","U.S. Small Business Administration (SBA) — Launch your business",https://www.sba.gov/counseling/launch-your-business/,2026-09-25,"Guide: https://www.incorpsys.com/usa/ongoing-state-reports/",supplied
malaysia/company-types,Malaysia,"SSM lists company limited by shares, company limited by guarantee and unlimited company as company types under the Companies Act 2016.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/company-types/",supplied
malaysia/basic-incorporation-requirements,Malaysia,"SSM sets out baseline requirements for private and public companies, including directors who ordinarily reside in Malaysia and promoter requirements.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/basic-incorporation-requirements/",supplied
malaysia/company-name-approval,Malaysia,"SSM’s incorporation process requires approval of the proposed company name before the incorporation application proceeds through the relevant route.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/company-name-approval/",supplied
malaysia/direct-incorporation,Malaysia,"SSM permits an online direct-incorporation method that combines name reservation and incorporation, alongside a separate name-reservation route.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/direct-incorporation/",supplied
malaysia/name-reservation-window,Malaysia,"SSM states that after name approval, the incorporation application should be submitted within 30 days or a longer period allowed by the Registrar, up to the published maximum.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/name-reservation-window/",supplied
malaysia/incorporation-particulars,Malaysia,"SSM identifies core incorporation particulars covering company type, business activity, registered office, business address, directors, promoters and declarations.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/incorporation-particulars/",supplied
malaysia/director-requirements,Malaysia,"SSM states that a director must be a natural person, at least 18, ordinarily resident in Malaysia and meet the other published eligibility conditions.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/director-requirements/",supplied
malaysia/company-secretary,Malaysia,"SSM requires the first company secretary to be appointed within the stated period after incorporation and sets eligibility conditions for the secretary.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/company-secretary/",supplied
malaysia/registered-office-rules,Malaysia,"SSM states that a company must maintain a registered office in Malaysia and describes the address details that should be provided.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/registered-office-rules/",supplied
malaysia/annual-submission,Malaysia,"SSM states that registered companies must lodge annual submissions, including an annual return containing key company information.","Companies Commission of Malaysia (SSM) — Incorporation of Company under the Companies Act 2016",https://www.ssm.com.my/Pages/Register_Business_Company_LLP/Company/Starting_Company.aspx,2026-09-25,"Guide: https://www.incorpsys.com/malaysia/annual-submission/",supplied
